2014-11-20 12:56:53.653 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 29500, Getting = T, Updating = F, Files = F F F, Time = 3.7011
2014-11-20 12:56:53.709 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 30000, Getting = T, Updating = F, Files = F F F, Time = 3.757899
2014-11-20 12:56:53.768 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 30500, Getting = T, Updating = F, Files = F F F, Time = 3.815933
2014-11-20 12:56:53.823 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 31000, Getting = T, Updating = F, Files = F F F, Time = 3.871781
2014-11-20 12:56:53.909 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 31500, Getting = T, Updating = F, Files = F F F, Time = 3.95716
2014-11-20 12:56:53.970 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 32000, Getting = T, Updating = F, Files = F F F, Time = 4.018821
2014-11-20 12:56:54.044 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 32500, Getting = T, Updating = F, Files = F F F, Time = 4.092915
2014-11-20 12:56:54.106 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 33000, Getting = T, Updating = F, Files = F F F, Time = 4.154545
2014-11-20 12:56:54.164 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 33500, Getting = T, Updating = F, Files = F F F, Time = 4.212234
2014-11-20 12:56:54.223 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 34000, Getting = T, Updating = F, Files = F F F, Time = 4.271584
2014-11-20 12:56:54.284 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 34500, Getting = T, Updating = F, Files = F F F, Time = 4.332095
2014-11-20 12:56:54.353 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 35000, Getting = T, Updating = F, Files = F F F, Time = 4.400976
2014-11-20 12:56:54.421 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 35500, Getting = T, Updating = F, Files = F F F, Time = 4.46976
2014-11-20 12:56:54.482 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 36000, Getting = T, Updating = F, Files = F F F, Time = 4.530038
2014-11-20 12:56:54.545 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 36500, Getting = T, Updating = F, Files = F F F, Time = 4.593347
2014-11-20 12:56:54.615 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 37000, Getting = T, Updating = F, Files = F F F, Time = 4.663592
2014-11-20 12:56:54.677 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 37500, Getting = T, Updating = F, Files = F F F, Time = 4.725908
2014-11-20 12:56:54.736 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 38000, Getting = T, Updating = F, Files = F F F, Time = 4.784147
2014-11-20 12:56:54.794 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 38500, Getting = T, Updating = F, Files = F F F, Time = 4.842213
2014-11-20 12:56:54.854 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 39000, Getting = T, Updating = F, Files = F F F, Time = 4.90252
2014-11-20 12:56:54.918 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 39500, Getting = T, Updating = F, Files = F F F, Time = 4.965944
2014-11-20 12:56:54.977 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 40000, Getting = T, Updating = F, Files = F F F, Time = 5.025107
2014-11-20 12:56:55.034 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 40500, Getting = T, Updating = F, Files = F F F, Time = 5.082831
2014-11-20 12:56:55.093 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 41000, Getting = T, Updating = F, Files = F F F, Time = 5.141442
2014-11-20 12:56:55.153 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 41500, Getting = T, Updating = F, Files = F F F, Time = 5.201744
2014-11-20 12:56:55.213 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 42000, Getting = T, Updating = F, Files = F F F, Time = 5.261577
2014-11-20 12:56:55.271 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 42500, Getting = T, Updating = F, Files = F F F, Time = 5.319447
2014-11-20 12:56:55.333 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 43000, Getting = T, Updating = F, Files = F F F, Time = 5.381882
2014-11-20 12:56:55.396 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 43500, Getting = T, Updating = F, Files = F F F, Time = 5.444311
2014-11-20 12:56:55.454 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 44000, Getting = T, Updating = F, Files = F F F, Time = 5.501938
2014-11-20 12:56:55.513 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 44500, Getting = T, Updating = F, Files = F F F, Time = 5.561493
2014-11-20 12:56:55.573 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 45000, Getting = T, Updating = F, Files = F F F, Time = 5.621395
2014-11-20 12:56:55.630 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 45500, Getting = T, Updating = F, Files = F F F, Time = 5.678854
2014-11-20 12:56:55.690 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 46000, Getting = T, Updating = F, Files = F F F, Time = 5.738198
2014-11-20 12:56:55.749 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 46500, Getting = T, Updating = F, Files = F F F, Time = 5.796963
2014-11-20 12:56:55.810 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 47000, Getting = T, Updating = F, Files = F F F, Time = 5.858307
2014-11-20 12:56:55.874 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 47500, Getting = T, Updating = F, Files = F F F, Time = 5.922641
2014-11-20 12:56:55.942 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 48000, Getting = T, Updating = F, Files = F F F, Time = 5.989879
2014-11-20 12:56:56.007 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 48500, Getting = T, Updating = F, Files = F F F, Time = 6.055665
2014-11-20 12:56:56.068 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 49000, Getting = T, Updating = F, Files = F F F, Time = 6.116813
2014-11-20 12:56:56.142 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 49500, Getting = T, Updating = F, Files = F F F, Time = 6.190198
2014-11-20 12:56:56.204 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 50000, Getting = T, Updating = F, Files = F F F, Time = 6.252157
2014-11-20 12:56:56.268 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 50500, Getting = T, Updating = F, Files = F F F, Time = 6.315979
2014-11-20 12:56:56.334 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 51000, Getting = T, Updating = F, Files = F F F, Time = 6.382204
2014-11-20 12:56:56.402 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 51500, Getting = T, Updating = F, Files = F F F, Time = 6.450343
2014-11-20 12:56:56.465 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 52000, Getting = T, Updating = F, Files = F F F, Time = 6.513649
2014-11-20 12:56:56.526 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 52500, Getting = T, Updating = F, Files = F F F, Time = 6.574374
2014-11-20 12:56:56.585 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 53000, Getting = T, Updating = F, Files = F F F, Time = 6.633263
2014-11-20 12:56:56.642 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 53500, Getting = T, Updating = F, Files = F F F, Time = 6.690517
2014-11-20 12:56:56.701 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 54000, Getting = T, Updating = F, Files = F F F, Time = 6.74962
2014-11-20 12:56:56.758 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 54500, Getting = T, Updating = F, Files = F F F, Time = 6.806459
2014-11-20 12:56:56.813 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 55000, Getting = T, Updating = F, Files = F F F, Time = 6.861075
2014-11-20 12:56:56.872 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 55500, Getting = T, Updating = F, Files = F F F, Time = 6.920073
2014-11-20 12:56:56.936 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 56000, Getting = T, Updating = F, Files = F F F, Time = 6.984816
2014-11-20 12:56:56.999 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 56500, Getting = T, Updating = F, Files = F F F, Time = 7.047567
2014-11-20 12:56:57.060 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 57000, Getting = T, Updating = F, Files = F F F, Time = 7.108847
2014-11-20 12:56:57.126 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 57500, Getting = T, Updating = F, Files = F F F, Time = 7.174129
2014-11-20 12:56:57.187 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 58000, Getting = T, Updating = F, Files = F F F, Time = 7.234995
2014-11-20 12:56:57.246 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 58500, Getting = T, Updating = F, Files = F F F, Time = 7.294387
2014-11-20 12:56:57.304 CallFormiOS[3417:461133]   core[sswds][um] > UpdateModels > i = 59000, Getting = T, Updating = F, Files = F F F, Time = 7.352594
